match_name,status,venue,team_1,team_2,date
India vs Australia,Live,Mumbai,India,Australia,Today
England vs South Africa,Scheduled,London,England,South Africa,Tomorrow
Pakistan vs New Zealand,Completed,Lahore,Pakistan,New Zealand,Yesterday
New Zealand vs Sri Lanka,Live,Wellington,New Zealand,Sri Lanka,Today
Bangladesh vs Afghanistan,Completed,Dhaka,Bangladesh,Afghanistan,Yesterday
South Africa vs England,In Progress,Cape Town,South Africa,England,Today
Australia vs Pakistan,Completed,Melbourne,Australia,Pakistan,Yesterday
India vs England,Scheduled,Bengaluru,India,England,Tomorrow
Netherlands vs Ireland,Completed,Amstelveen,Netherlands,Ireland,Yesterday
West Indies vs Zimbabwe,Live,Kingston,West Indies,Zimbabwe,Today
